term,estimate,std.error,statistic,p.value,ID,Model
(Intercept),-4.298768059959397,0.14353357244831422,-29.949565015581033,4.1629644000015266e-21,1,Quadratic
Time,0.012351430704827233,9.548819692541255e-4,12.935033964957098,1.4144138278021606e-12,1,Quadratic
I(Time^2),-1.2295140474379836e-5,1.336434846057427e-6,-9.199955022612087,1.678288557592835e-9,1,Quadratic
(Intercept),-4.948707084444194,0.09081556873256412,-54.49183607512568,1.141700327404531e-26,1,Cubic
Time,0.02275852140035131,0.0011161261792215554,20.390634879852286,1.1541746097651844e-16,1,Cubic
I(Time^2),-4.9207307401034164e-5,3.7075632410302385e-6,-13.272142429419677,1.5103343274844052e-12,1,Cubic
I(Time^3),3.5487499288985555e-8,3.518125962802803e-9,10.087046246835788,4.148958170574454e-10,1,Cubic
(Intercept),-1.766024151448386,0.1781381901045736,-9.913787438907208,3.817564071067115e-10,2,Quadratic
Time,0.006462677655482779,0.0011858319687579632,5.449910127023956,1.1690054486316571e-5,2,Quadratic
I(Time^2),-7.58783807426168e-6,1.661318156698382e-6,-4.56735998680792,1.143683216683126e-4,2,Quadratic
(Intercept),-2.4513401805851447,0.16602710302397722,-14.764698871070035,1.5310862445210024e-13,2,Cubic
Time,0.017486767707794858,0.0020478691634669096,8.539006309461145,9.763717193733217e-9,2,Cubic
I(Time^2),-4.6759734743689614e-5,6.8172097034270205e-6,-6.859072373875111,4.2918730901482406e-7,2,Cubic
I(Time^3),3.7701870244951394e-8,6.47668563042311e-9,5.821167244532201,5.297547021460804e-6,2,Cubic
(Intercept),-3.1847407472238762,0.3490178466494926,-9.124865039988082,1.968663936201739e-9,3,Quadratic
Time,0.013343083288479924,0.00231659124826756,5.759791805506655,5.298978263289672e-6,3,Quadratic
I(Time^2),-1.58656141292339e-5,3.2367024639693627e-6,-4.901783313680599,4.8061100996658335e-5,3,Quadratic
(Intercept),-4.573704786573761,0.3138524116441899,-14.572788409091169,2.0333109576240457e-13,3,Cubic
Time,0.035499272897976664,0.003852138634683863,9.215471265324805,2.364601653392851e-9,3,Cubic
I(Time^2),-9.42688195796972e-5,1.2774318339628106e-5,-7.379557724599621,1.2776196486154318e-7,3,Cubic
I(Time^3),7.524183377234068e-8,1.2101209220080442e-8,6.217711999184864,1.9997578978736623e-6,3,Cubic
(Intercept),-3.8962243585253606,0.2853348318369036,-13.654920198289807,1.2223181545342254e-13,4,Quadratic
Time,0.017891239270447137,0.0018883354781684479,9.474608446058735,4.461351836426378e-10,4,Quadratic
I(Time^2),-2.228060589082535e-5,2.6201497021485698e-06,-8.503562171487703,4.070731177905675e-9,4,Quadratic
(Intercept),-5.178857754743097,0.21122188615075815,-24.518565992951714,1.6886452988153096e-19,4,Cubic
Time,0.038240479853658936,0.002573772288253648,14.85775568731677,3.220260207518797e-14,4,Cubic
